name,category,brand,origin,caliber,capacity,action,price,description
Taurus PT 1911,Pistol,Taurus,Brazil,9mm,10 rds,Semi Auto,275000.0,Brand: Taurus | Origin: Brazil | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
Zigana PX9 Gen 3,Pistol,Zigana,Turkey,9mm,18 rds,Semi Auto,175000.0,Brand: Zigana | Origin: Turkey | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Agaoglu FXS 9,Pistol,Agaoglu,Turkey,9mm,18 rds,Semi Auto,155000.0,Brand: Agaoglu | Origin: Turkey | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Derya DY9,Pistol,Derya,Turkey,9mm,15 rds,Semi Auto,165000.0,Brand: Derya | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Zig 14,Pistol,Zigana,Turkey,9mm,15 rds,Semi Auto,240000.0,Brand: Zigana | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Zig P9,Pistol,Zigana,Turkey,30 Bore,10 rds,Semi Auto,145000.0,Brand: Zigana | Origin: Turkey | Caliber: 30 Bore | Capacity: 10 rds | Action: Semi Auto
BRG9 Elite,Pistol,BRG,Turkey,9mm,15 rds,Semi Auto,180000.0,Brand: BRG | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Canik TP9 Sub Elite,Pistol,Canik,Turkey,9mm,15 rds,Semi Auto,250000.0,Brand: Canik | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Canik TP9 SFX,Pistol,Canik,Turkey,9mm,18 rds,Semi Auto,255000.0,Brand: Canik | Origin: Turkey | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Canik TP9 SFX Rival,Pistol,Canik,Turkey,9mm,18 rds,Semi Auto,450000.0,Brand: Canik | Origin: Turkey | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Canik TP9 Elite Combat,Pistol,Canik,Turkey,9mm,18 rds,Semi Auto,350000.0,Brand: Canik | Origin: Turkey | Caliber: 9mm | Capacity: 18 rds | Action: Semi Auto
Girsan Beretta MC9,Pistol,Girsan,Turkey,9mm,15 rds,Semi Auto,260000.0,Brand: Girsan | Origin: Turkey | Caliber: 9mm | Capacity: 15 rds | Action: Semi Auto
Girsan MC 1911,Pistol,Girsan,Turkey,9mm,10 rds,Semi Auto,250000.0,Brand: Girsan | Origin: Turkey | Caliber: 9mm | Capacity: 10 rds | Action: Semi Auto
